"","year","region","state","state_code","sex","life.expectancy"
"1",2000,"Center West","Mato Grosso do Sul",50,"female",75.2263903513917
"2",2001,"Center West","Mato Grosso do Sul",50,"female",75.0462356837999
"3",2002,"Center West","Mato Grosso do Sul",50,"female",75.1426055782374
"4",2003,"Center West","Mato Grosso do Sul",50,"female",74.730416639502
"5",2004,"Center West","Mato Grosso do Sul",50,"female",75.2596509925273
"6",2005,"Center West","Mato Grosso do Sul",50,"female",75.8717557986506
"7",2006,"Center West","Mato Grosso do Sul",50,"female",76.344287725199
"8",2007,"Center West","Mato Grosso do Sul",50,"female",76.1745329777373
"9",2008,"Center West","Mato Grosso do Sul",50,"female",77.2605321818257
"10",2009,"Center West","Mato Grosso do Sul",50,"female",77.010623878672
"11",2010,"Center West","Mato Grosso do Sul",50,"female",77.0536975091901
"12",2011,"Center West","Mato Grosso do Sul",50,"female",77.8244570711422
"13",2012,"Center West","Mato Grosso do Sul",50,"female",77.951043713812
"14",2013,"Center West","Mato Grosso do Sul",50,"female",78.1911529849763
"15",2014,"Center West","Mato Grosso do Sul",50,"female",78.2516054430946
"16",2015,"Center West","Mato Grosso do Sul",50,"female",78.2749650122334
"17",2000,"Center West","Mato Grosso do Sul",50,"male",67.7693551854827
"18",2001,"Center West","Mato Grosso do Sul",50,"male",68.4600416332741
"19",2002,"Center West","Mato Grosso do Sul",50,"male",68.8115238460084
"20",2003,"Center West","Mato Grosso do Sul",50,"male",68.5168376182089
"21",2004,"Center West","Mato Grosso do Sul",50,"male",68.2035897644082
"22",2005,"Center West","Mato Grosso do Sul",50,"male",68.9627779175702
"23",2006,"Center West","Mato Grosso do Sul",50,"male",69.206247825793
"24",2007,"Center West","Mato Grosso do Sul",50,"male",69.5712044137976
"25",2008,"Center West","Mato Grosso do Sul",50,"male",69.7714660182987
"26",2009,"Center West","Mato Grosso do Sul",50,"male",70.2584671513159
"27",2010,"Center West","Mato Grosso do Sul",50,"male",70.0126216947625
"28",2011,"Center West","Mato Grosso do Sul",50,"male",70.6416064193271
"29",2012,"Center West","Mato Grosso do Sul",50,"male",70.7452410978407
"30",2013,"Center West","Mato Grosso do Sul",50,"male",70.9269151839083
"31",2014,"Center West","Mato Grosso do Sul",50,"male",71.4337189140118
"32",2015,"Center West","Mato Grosso do Sul",50,"male",71.8174428341353
"33",2000,"Center West","Mato Grosso",51,"female",73.612176722693
"34",2001,"Center West","Mato Grosso",51,"female",74.0120872600618
"35",2002,"Center West","Mato Grosso",51,"female",73.966618927017
"36",2003,"Center West","Mato Grosso",51,"female",74.6024349123616
"37",2004,"Center West","Mato Grosso",51,"female",74.1843406747322
"38",2005,"Center West","Mato Grosso",51,"female",75.0621236093922
"39",2006,"Center West","Mato Grosso",51,"female",75.111207778616
"40",2007,"Center West","Mato Grosso",51,"female",76.0976454280335
"41",2008,"Center West","Mato Grosso",51,"female",76.1029902030377
"42",2009,"Center West","Mato Grosso",51,"female",75.8306098847622
"43",2010,"Center West","Mato Grosso",51,"female",75.9861208368708
"44",2011,"Center West","Mato Grosso",51,"female",76.4400483760745
"45",2012,"Center West","Mato Grosso",51,"female",76.4184981676518
"46",2013,"Center West","Mato Grosso",51,"female",76.7114016569717
"47",2014,"Center West","Mato Grosso",51,"female",76.8332512510977
"48",2015,"Center West","Mato Grosso",51,"female",77.0335774680724
"49",2000,"Center West","Mato Grosso",51,"male",65.2758049580967
"50",2001,"Center West","Mato Grosso",51,"male",66.1189043303821
"51",2002,"Center West","Mato Grosso",51,"male",66.0736252943401
"52",2003,"Center West","Mato Grosso",51,"male",66.6516842963158
"53",2004,"Center West","Mato Grosso",51,"male",66.6817098093079
"54",2005,"Center West","Mato Grosso",51,"male",67.2580165166701
"55",2006,"Center West","Mato Grosso",51,"male",68.2705472128852
"56",2007,"Center West","Mato Grosso",51,"male",69.1056934852753
"57",2008,"Center West","Mato Grosso",51,"male",68.3792034198942
"58",2009,"Center West","Mato Grosso",51,"male",69.0224271708594
"59",2010,"Center West","Mato Grosso",51,"male",69.0952207240003
"60",2011,"Center West","Mato Grosso",51,"male",69.5083070532209
"61",2012,"Center West","Mato Grosso",51,"male",69.7314190402212
"62",2013,"Center West","Mato Grosso",51,"male",70.1981175658986
"63",2014,"Center West","Mato Grosso",51,"male",70.0141589954431
"64",2015,"Center West","Mato Grosso",51,"male",70.7189365429395
"65",2000,"Center West","Goiás",52,"female",73.7429174262186
"66",2001,"Center West","Goiás",52,"female",73.8779470574174
"67",2002,"Center West","Goiás",52,"female",73.6863841578872
"68",2003,"Center West","Goiás",52,"female",74.291062834316
"69",2004,"Center West","Goiás",52,"female",74.1349017988758
"70",2005,"Center West","Goiás",52,"female",75.2834885837536
"71",2006,"Center West","Goiás",52,"female",75.5560971270766
"72",2007,"Center West","Goiás",52,"female",75.9083956609924
"73",2008,"Center West","Goiás",52,"female",75.7841251229406
"74",2009,"Center West","Goiás",52,"female",76.323041881622
"75",2010,"Center West","Goiás",52,"female",76.1073578911953
"76",2011,"Center West","Goiás",52,"female",76.2947674541559
"77",2012,"Center West","Goiás",52,"female",76.2398552726948
"78",2013,"Center West","Goiás",52,"female",76.70833108755
"79",2014,"Center West","Goiás",52,"female",76.8929160379115
"80",2015,"Center West","Goiás",52,"female",77.3951385560734
"81",2000,"Center West","Goiás",52,"male",66.4238737444268
"82",2001,"Center West","Goiás",52,"male",67.0015405664883
"83",2002,"Center West","Goiás",52,"male",66.719095460572
"84",2003,"Center West","Goiás",52,"male",67.5922328323447
"85",2004,"Center West","Goiás",52,"male",67.3552070002052
"86",2005,"Center West","Goiás",52,"male",68.4583177301907
"87",2006,"Center West","Goiás",52,"male",69.1643111100508
"88",2007,"Center West","Goiás",52,"male",69.414295669954
"89",2008,"Center West","Goiás",52,"male",69.3018921217417
"90",2009,"Center West","Goiás",52,"male",69.9607127868918
"91",2010,"Center West","Goiás",52,"male",69.7633085861889
"92",2011,"Center West","Goiás",52,"male",69.7310362262651
"93",2012,"Center West","Goiás",52,"male",69.649118068882
"94",2013,"Center West","Goiás",52,"male",70.3827813240695
"95",2014,"Center West","Goiás",52,"male",70.4972401384925
"96",2015,"Center West","Goiás",52,"male",70.5154315857601
"97",2000,"Center West","Distrito Federal",53,"female",76.4195128025634
"98",2001,"Center West","Distrito Federal",53,"female",76.4727016136681
