"","year","region","state","state_code","sex","V1"
"1",2000,"Center West","Mato Grosso do Sul",50,"female",77.6344221742384
"2",2001,"Center West","Mato Grosso do Sul",50,"female",77.1452630124377
"3",2002,"Center West","Mato Grosso do Sul",50,"female",76.8357605047617
"4",2003,"Center West","Mato Grosso do Sul",50,"female",76.1446368190242
"5",2004,"Center West","Mato Grosso do Sul",50,"female",76.4447374722552
"6",2005,"Center West","Mato Grosso do Sul",50,"female",76.8313620456603
"7",2006,"Center West","Mato Grosso do Sul",50,"female",77.1117728132018
"8",2007,"Center West","Mato Grosso do Sul",50,"female",76.7154278305841
"9",2008,"Center West","Mato Grosso do Sul",50,"female",77.6186273851713
"10",2009,"Center West","Mato Grosso do Sul",50,"female",77.1889164666456
"11",2010,"Center West","Mato Grosso do Sul",50,"female",77.0545645520651
"12",2011,"Center West","Mato Grosso do Sul",50,"female",77.8166267706749
"13",2012,"Center West","Mato Grosso do Sul",50,"female",77.9407313276129
"14",2013,"Center West","Mato Grosso do Sul",50,"female",78.2031748258435
"15",2014,"Center West","Mato Grosso do Sul",50,"female",78.260115740638
"16",2015,"Center West","Mato Grosso do Sul",50,"female",78.271842464254
"17",2000,"Center West","Mato Grosso do Sul",50,"male",69.3344067395715
"18",2001,"Center West","Mato Grosso do Sul",50,"male",69.860880700784
"19",2002,"Center West","Mato Grosso do Sul",50,"male",69.9939906868204
"20",2003,"Center West","Mato Grosso do Sul",50,"male",69.5236035862292
"21",2004,"Center West","Mato Grosso do Sul",50,"male",69.0580779897222
"22",2005,"Center West","Mato Grosso do Sul",50,"male",69.6870279833077
"23",2006,"Center West","Mato Grosso do Sul",50,"male",69.7784811022361
"24",2007,"Center West","Mato Grosso do Sul",50,"male",69.9822849136846
"25",2008,"Center West","Mato Grosso do Sul",50,"male",70.0482075142978
"26",2009,"Center West","Mato Grosso do Sul",50,"male",70.3857043580927
"27",2010,"Center West","Mato Grosso do Sul",50,"male",70.0144515717884
"28",2011,"Center West","Mato Grosso do Sul",50,"male",70.6365105256819
"29",2012,"Center West","Mato Grosso do Sul",50,"male",70.7392829592378
"30",2013,"Center West","Mato Grosso do Sul",50,"male",70.9271771336719
"31",2014,"Center West","Mato Grosso do Sul",50,"male",71.426705495534
"32",2015,"Center West","Mato Grosso do Sul",50,"male",71.822322511303
"33",2000,"Center West","Mato Grosso",51,"female",76.1932225050212
"34",2001,"Center West","Mato Grosso",51,"female",76.3539260880602
"35",2002,"Center West","Mato Grosso",51,"female",75.9866999043843
"36",2003,"Center West","Mato Grosso",51,"female",76.414245530588
"37",2004,"Center West","Mato Grosso",51,"female",75.7790431704573
"38",2005,"Center West","Mato Grosso",51,"female",76.4959625972129
"39",2006,"Center West","Mato Grosso",51,"female",76.3719455238474
"40",2007,"Center West","Mato Grosso",51,"female",77.2394197781532
"41",2008,"Center West","Mato Grosso",51,"female",77.1003940930812
"42",2009,"Center West","Mato Grosso",51,"female",76.6437434540536
"43",2010,"Center West","Mato Grosso",51,"female",76.6397414940523
"44",2011,"Center West","Mato Grosso",51,"female",76.957469656088
"45",2012,"Center West","Mato Grosso",51,"female",76.7835840056764
"46",2013,"Center West","Mato Grosso",51,"female",76.9403884988821
"47",2014,"Center West","Mato Grosso",51,"female",76.9260476505081
"48",2015,"Center West","Mato Grosso",51,"female",76.9874532895391
"49",2000,"Center West","Mato Grosso",51,"male",68.0422476498279
"50",2001,"Center West","Mato Grosso",51,"male",68.6017417473639
"51",2002,"Center West","Mato Grosso",51,"male",68.3164146972247
"52",2003,"Center West","Mato Grosso",51,"male",68.566753570964
"53",2004,"Center West","Mato Grosso",51,"male",68.3414028602073
"54",2005,"Center West","Mato Grosso",51,"male",68.6836052577755
"55",2006,"Center West","Mato Grosso",51,"male",69.4612567475123
"56",2007,"Center West","Mato Grosso",51,"male",70.0559212250722
"57",2008,"Center West","Mato Grosso",51,"male",69.1213753106861
"58",2009,"Center West","Mato Grosso",51,"male",69.55589995379
"59",2010,"Center West","Mato Grosso",51,"male",69.3816369690969
"60",2011,"Center West","Mato Grosso",51,"male",69.5695663746839
"61",2012,"Center West","Mato Grosso",51,"male",69.5772621208293
"62",2013,"Center West","Mato Grosso",51,"male",69.805264442012
"63",2014,"Center West","Mato Grosso",51,"male",69.4246106873107
"64",2015,"Center West","Mato Grosso",51,"male",70.133640620508
"65",2000,"Center West","Goiás",52,"female",76.4250732188623
"66",2001,"Center West","Goiás",52,"female",76.2984207110286
"67",2002,"Center West","Goiás",52,"female",75.8313963782808
"68",2003,"Center West","Goiás",52,"female",76.2882724990537
"69",2004,"Center West","Goiás",52,"female",75.8944606358677
"70",2005,"Center West","Goiás",52,"female",76.8454623562062
"71",2006,"Center West","Goiás",52,"female",76.9454433084236
"72",2007,"Center West","Goiás",52,"female",77.0919448104783
"73",2008,"Center West","Goiás",52,"female",76.8148842336699
"74",2009,"Center West","Goiás",52,"female",77.1673364486739
"75",2010,"Center West","Goiás",52,"female",76.7537641550532
"76",2011,"Center West","Goiás",52,"female",76.7673142887073
"77",2012,"Center West","Goiás",52,"female",76.5225673379389
"78",2013,"Center West","Goiás",52,"female",76.8250716005371
"79",2014,"Center West","Goiás",52,"female",76.8213753787104
"80",2015,"Center West","Goiás",52,"female",77.1296549034645
"81",2000,"Center West","Goiás",52,"male",69.2598380700872
"82",2001,"Center West","Goiás",52,"male",69.4411017413769
"83",2002,"Center West","Goiás",52,"male",68.943389892996
"84",2003,"Center West","Goiás",52,"male",69.5453559594986
"85",2004,"Center West","Goiás",52,"male",69.0525502336191
"86",2005,"Center West","Goiás",52,"male",69.8949027300638
"87",2006,"Center West","Goiás",52,"male",70.3470785189676
"88",2007,"Center West","Goiás",52,"male",70.3456865844575
"89",2008,"Center West","Goiás",52,"male",69.986724961022
"90",2009,"Center West","Goiás",52,"male",70.3742149027315
"91",2010,"Center West","Goiás",52,"male",69.92089663328
"92",2011,"Center West","Goiás",52,"male",69.6158728709649
"93",2012,"Center West","Goiás",52,"male",69.2458237695585
"94",2013,"Center West","Goiás",52,"male",69.7098856908165
"95",2014,"Center West","Goiás",52,"male",69.6019967838988
"96",2015,"Center West","Goiás",52,"male",69.6040775417007
"97",2000,"Center West","Distrito Federal",53,"female",77.6986608967748
"98",2001,"Center West","Distrito Federal",53,"female",77.5865509408632
"99",2002,"Center West","Distrito Federal",53,"female",77.2118587476211
"100",2003,"Center West","Distrito Federal",53,"female",78.0405237565939
"101",2004,"Center West","Distrito Federal",53,"female",77.264619895595
"102",2005,"Center West","Distrito Federal",53,"female",78.0871737590907
"103",2006,"Center West","Distrito Federal",53,"female",78.3224138401073
"104",2007,"Center West","Distrito Federal",53,"female",78.4390543975494
"105",2008,"Center West","Distrito Federal",53,"female",78.6740766586455
"106",2009,"Center West","Distrito Federal",53,"female",79.3118607461665
"107",2010,"Center West","Distrito Federal",53,"female",79.3086444319569
"108",2011,"Center West","Distrito Federal",53,"female",79.6478216879923
"109",2012,"Center West","Distrito Federal",53,"female",80.2806133319746
"110",2013,"Center West","Distrito Federal",53,"female",80.4422641597784
"111",2014,"Center West","Distrito Federal",53,"female",80.7112390078085
"112",2015,"Center West","Distrito Federal",53,"female",81.1759484707817
"113",2000,"Center West","Distrito Federal",53,"male",69.5146270130211
"114",2001,"Center West","Distrito Federal",53,"male",69.6391387530622
"115",2002,"Center West","Distrito Federal",53,"male",69.4805073645803
"116",2003,"Center West","Distrito Federal",53,"male",69.7565848421252
"117",2004,"Center West","Distrito Federal",53,"male",69.7544139894319
"118",2005,"Center West","Distrito Federal",53,"male",70.5608597761646
"119",2006,"Center West","Distrito Federal",53,"male",71.2640818014335
"120",2007,"Center West","Distrito Federal",53,"male",71.4379930274926
"121",2008,"Center West","Distrito Federal",53,"male",71.4466490959669
"122",2009,"Center West","Distrito Federal",53,"male",71.8006116199236
"123",2010,"Center West","Distrito Federal",53,"male",72.0995067281941
"124",2011,"Center West","Distrito Federal",53,"male",72.3180876690187
"125",2012,"Center West","Distrito Federal",53,"male",72.9326947048767
"126",2013,"Center West","Distrito Federal",53,"male",73.7585893091844
"127",2014,"Center West","Distrito Federal",53,"male",73.7051043411872
"128",2015,"Center West","Distrito Federal",53,"male",74.7136819026811
"129",2000,"North","Rondônia",11,"female",76.1284298853792
"130",2001,"North","Rondônia",11,"female",75.0269417697875
"131",2002,"North","Rondônia",11,"female",75.5828895094961
"132",2003,"North","Rondônia",11,"female",75.6365840042093
"133",2004,"North","Rondônia",11,"female",75.8285282771592
"134",2005,"North","Rondônia",11,"female",76.4422572880742
"135",2006,"North","Rondônia",11,"female",76.9646474941797
"136",2007,"North","Rondônia",11,"female",77.9438482187389
"137",2008,"North","Rondônia",11,"female",77.3067618290305
"138",2009,"North","Rondônia",11,"female",77.1467966165972
"139",2010,"North","Rondônia",11,"female",76.8400721216382
"140",2011,"North","Rondônia",11,"female",77.0733979633205
"141",2012,"North","Rondônia",11,"female",76.7952165079274
"142",2013,"North","Rondônia",11,"female",77.2028393059567
"143",2014,"North","Rondônia",11,"female",77.5656480153852
"144",2015,"North","Rondônia",11,"female",77.3327982161209
"145",2000,"North","Rondônia",11,"male",67.4347050493783
"146",2001,"North","Rondônia",11,"male",66.9909251596418
"147",2002,"North","Rondônia",11,"male",67.7852323602941
